gen, survive, avgF
  0,  6.8,  -844.5
  1,  7.1,  -856.5
  2,  6.3,  -843.0
  3,  6.6,  -891.0
  4,  7.5,  -935.5
  5,  7.0,  -928.0
  6,  6.4,  -912.0
  7,  7.1,  -905.5
  8,  7.0,  -885.0
  9,  6.3,  -883.5
 10,  6.1,  -895.5
 11,  7.4,  -887.5
 12,  7.2,  -851.0
 13,  7.1,  -877.5
 14,  6.8,  -782.5
 15,  7.1,  -913.0
 16,  6.6,  -869.0
 17,  7.4,  -850.5
 18,  7.0,  -854.0
 19,  7.2,  -900.0
 20,  7.0,  -807.5
 21,  6.7,  -864.0
 22,  5.7,  -886.5
 23,  6.5,  -894.5
 24,  6.9,  -864.0
 25,  7.3,  -943.0
 26,  7.1,  -881.5
 27,  5.8,  -803.0
 28,  6.3,  -842.5
 29,  6.5,  -842.0
 30,  6.9,  -893.0
 31,  7.0,  -838.5
 32,  6.8,  -910.0
 33,  6.3,  -816.5
 34,  6.0,  -819.0
 35,  6.8,  -899.0
 36,  6.7,  -857.5
 37,  6.1,  -900.0
 38,  7.3,  -890.5
 39,  7.5,  -890.5
 40,  6.9,  -791.5
 41,  7.0,  -885.5
 42,  6.7,  -862.0
 43,  7.6,  -913.5
 44,  5.9,  -785.5
 45,  7.4,  -920.0
 46,  6.9,  -887.5
 47,  6.4,  -911.5
 48,  7.0,  -903.0
 49,  6.9,  -908.5
 50,  6.8,  -880.5
 51,  6.6,  -861.0
 52,  7.1,  -873.5
 53,  6.0,  -741.5
 54,  6.4,  -901.5
 55,  6.8,  -880.5
 56,  7.1,  -813.5
 57,  6.8,  -852.0
 58,  7.4,  -865.0
 59,  6.9,  -873.5
 60,  7.1,  -821.0
 61,  7.2,  -901.0
 62,  7.8,  -858.0
 63,  7.1,  -917.5
 64,  7.5,  -913.5
 65,  7.2,  -892.0
 66,  6.7,  -864.0
 67,  7.2,  -903.5
 68,  7.3,  -865.0
 69,  5.6,  -821.5
 70,  7.5,  -917.0
 71,  6.8,  -878.0
 72,  7.4,  -853.5
 73,  6.4,  -811.5
 74,  7.5,  -859.0
 75,  6.8,  -887.5
 76,  7.4,  -944.0
 77,  7.4,  -919.5
 78,  6.7,  -873.0
 79,  6.9,  -937.5
 80,  6.6,  -871.0
 81,  7.0,  -860.5
 82,  6.6,  -871.0
 83,  7.4,  -879.5
 84,  6.9,  -892.5
 85,  7.2,  -943.5
 86,  6.5,  -742.5
 87,  6.9,  -861.0
 88,  7.1,  -923.5
 89,  6.2,  -885.0
 90,  6.7,  -925.5
 91,  6.0,  -883.0
 92,  7.5,  -908.0
 93,  7.8,  -884.0
 94,  6.4,  -883.5
 95,  6.3,  -863.5
 96,  6.2,  -855.0
 97,  7.2,  -931.0
 98,  7.6,  -913.5
 99,  7.2,  -855.0
100,  6.2,  -834.0
101,  7.0,  -918.5
102,  6.9,  -870.5
103,  7.2,  -880.5
104,  6.9,  -878.0
105,  6.2,  -863.5
106,  7.1,  -854.0
107,  6.3,  -862.0
108,  6.7,  -891.0
109,  8.2,  -922.0
110,  7.3,  -861.5
111,  7.7,  -932.0
112,  7.1,  -915.0
113,  7.4,  -856.0
114,  6.4,  -876.0
115,  7.3,  -869.5
116,  6.2,  -841.0
117,  6.3,  -885.0
118,  6.4,  -805.0
119,  6.5,  -885.0
120,  6.8,  -895.5
121,  6.1,  -906.0
122,  7.6,  -938.5
123,  6.7,  -854.5
124,  7.5,  -918.0
125,  6.5,  -934.0
126,  6.6,  -898.0
127,  6.8,  -773.5
128,  7.0,  -902.0
129,  7.2,  -850.5
130,  6.3,  -833.0
131,  6.4,  -835.5
132,  7.5,  -880.0
133,  7.3,  -819.0
134,  7.9,  -933.0
135,  6.7,  -882.5
136,  6.8,  -886.0
137,  7.6,  -867.0
138,  6.5,  -837.5
139,  6.5,  -864.5
140,  6.4,  -904.0
141,  6.5,  -860.5
142,  6.7,  -884.0
143,  7.1,  -886.0
144,  7.0,  -868.0
145,  6.8,  -924.0
146,  6.4,  -895.0
147,  6.5,  -846.0
148,  6.3,  -752.5
149,  6.8,  -856.5
150,  7.0,  -871.0
151,  7.2,  -892.5
152,  5.7,  -639.5
153,  6.0,  -840.5
154,  5.7,  -834.5
155,  6.9,  -841.0
156,  6.7,  -898.5
157,  6.6,  -884.5
158,  6.4,  -792.5
159,  7.0,  -890.0
160,  7.4,  -954.5
161,  7.7,  -952.5
162,  7.0,  -918.0
163,  6.0,  -744.5
164,  7.5,  -951.0
165,  7.0,  -870.0
166,  6.4,  -746.5
167,  6.9,  -918.0
168,  6.8,  -893.5
169,  7.3,  -878.0
170,  6.7,  -902.0
171,  6.3,  -833.0
172,  6.8,  -912.5
173,  6.1,  -722.5
174,  6.8,  -853.0
175,  6.8,  -913.0
176,  6.1,  -832.0
177,  6.8,  -897.0
178,  6.6,  -904.5
179,  6.9,  -823.5
180,  6.2,  -832.0
181,  7.0,  -869.5
182,  6.4,  -862.5
183,  5.7,  -834.5
184,  6.7,  -878.0
185,  6.6,  -830.5
186,  6.6,  -850.0
187,  6.8,  -878.0
188,  6.5,  -861.5
189,  6.8,  -838.5
190,  6.8,  -827.0
191,  6.9,  -931.5
192,  6.4,  -861.5
193,  6.7,  -792.5
194,  6.9,  -856.5
195,  6.8,  -807.0
196,  6.9,  -912.5
197,  7.0,  -834.5
198,  7.6,  -960.5
199,  6.8,  -923.0
