gen, peakF, survive, avgF, run_time
  0,  -710,  2,  -934.3, 39.81
  1,  -715,  1,  -940.5, 41.44
  2,  -770,  0,  -940.7, 40.89
  3,  -840,  1,  -959.5, 43.21
  4,  -800,  2,  -960.0, 38.07
  5,  -315,  7,  -920.5, 38.39
  6,   -75,  3,  -908.5, 38.90
  7,   295,  4,  -839.0, 39.82
  8,   310,  4,  -768.5, 37.09
  9,   125,  4,  -676.8, 39.43
 10,   325,  5,  -629.7, 39.23
 11,   555,  6,  -721.2, 39.54
 12,  -105,  4,  -745.3, 39.04
 13,   375,  5,  -650.7, 39.01
 14,   375,  4,  -662.8, 38.96
 15,   590,  7,  -500.2, 37.30
 16,   505,  6,  -651.3, 38.68
 17,   365,  4,  -484.7, 40.33
 18,   755,  8,  -291.8, 41.70
 19,   560,  6,  -466.0, 38.46
 20,   495,  5,  -509.8, 40.52
 21,   575,  6,  -285.7, 36.78
 22,   410,  5,  -521.8, 40.91
 23,   450,  7,  -548.8, 39.03
 24,   225,  4,  -452.5, 37.68
 25,   455,  5,  -500.0, 40.30
 26,   575,  7,  -587.2, 39.60
 27,   425,  5,  -416.7, 36.75
 28,   625,  7,  -398.3, 35.79
 29,   530,  6,  -407.0, 40.05
 30,   655,  7,  -360.8, 41.61
 31,   580,  6,  -467.0, 39.85
 32,   215,  3,  -451.5, 45.57
 33,   670,  8,  -246.2, 39.82
 34,   430,  5,  -590.5, 42.84
 35,   525,  7,  -482.7, 41.19
 36,   350,  4,  -468.0, 39.43
 37,   400,  5,  -511.0, 36.75
 38,   665,  7,  -409.2, 36.30
 39,   720,  8,  -551.3, 39.92
 40,   420,  5,  -467.0, 40.90
 41,   515,  6,  -390.7, 37.26
 42,   510,  6,  -486.0, 44.52
 43,   330,  4,  -476.8, 42.26
 44,   595,  7,  -463.5, 40.80
 45,   510,  6,  -590.7, 39.86
 46,   470,  6,  -555.3, 39.86
 47,   460,  5,  -639.0, 39.42
 48,   525,  6,  -453.0, 39.13
 49,   460,  5,  -505.8, 38.94
 50,   455,  8,  -574.3, 39.77
 51,   635, 10,  -476.2, 39.48
 52,   505, 10,  -508.8, 39.76
 53,   810,  9,  -472.0, 41.61
 54,   595,  7,  -554.5, 38.39
 55,   600,  8,  -503.5, 38.85
 56,   500,  8,  -565.8, 39.95
 57,   710,  8,  -404.7, 42.49
 58,   440,  5,  -620.0, 39.31
 59,   555,  6,  -302.5, 43.68
 60,   470,  5,  -513.2, 39.46
 61,   715,  8,  -497.7, 44.00
 62,   665,  8,  -414.7, 42.83
 63,   720,  8,  -415.3, 45.09
 64,   800,  8,  -336.5, 39.88
 65,   705, 10,  -422.2, 43.64
 66,   585,  7,  -460.3, 39.45
 67,   520,  6,  -370.8, 44.34
 68,   510,  6,  -398.7, 41.91
 69,   665, 10,  -489.0, 41.98
 70,   635,  9,  -442.8, 40.01
 71,   460,  7,  -623.2, 42.66
 72,   635,  9,  -559.5, 39.33
 73,   585,  6,  -467.5, 45.04
 74,   615,  9,  -390.2, 50.44
 75,   735,  8,  -432.0, 40.07
 76,   595,  7,  -509.0, 41.06
 77,   465, 10,  -409.3, 41.18
 78,   690,  9,  -197.2, 44.64
 79,   595,  8,  -450.2, 42.93
 80,   575,  9,  -476.3, 42.06
 81,   635,  9,  -471.8, 43.46
 82,   595,  7,  -363.0, 43.14
 83,   615,  8,  -498.0, 42.65
 84,   585,  6,  -430.7, 43.47
 85,   605,  7,  -351.2, 41.70
 86,   630,  7,  -515.0, 43.34
 87,   645, 10,  -385.3, 40.64
 88,   675,  8,  -540.7, 40.30
 89,   475,  6,  -481.8, 42.14
 90,   735,  9,  -462.2, 40.07
 91,   505,  6,  -535.5, 42.02
 92,   530,  6,  -527.2, 42.78
 93,   435,  5,  -503.3, 36.74
 94,   555,  6,  -536.0, 38.29
 95,   435,  5,  -647.7, 41.06
 96,   415,  6,  -476.5, 40.02
 97,   535,  6,  -537.2, 39.98
 98,   320,  4,  -615.3, 43.88
 99,   545,  6,  -520.8, 43.92
100,   425,  5,  -489.8, 38.31
101,   450,  5,  -566.0, 42.23
102,   445,  5,  -555.8, 39.37
103,   600,  6,  -377.3, 37.38
104,   425,  5,  -422.8, 40.53
105,   515,  6,  -461.5, 42.89
106,   355,  4,  -446.0, 41.73
107,   635,  7,  -449.3, 42.69
108,   555,  6,  -419.5, 42.74
109,   520,  6,  -315.5, 38.45
110,   650,  7,  -415.5, 40.35
111,   640,  7,  -382.2, 42.01
112,   640,  7,  -371.2, 38.96
113,   535,  7,  -491.5, 39.96
114,   650,  7,  -578.8, 38.94
115,   550,  6,  -418.5, 36.25
116,   650,  8,  -505.7, 38.95
117,   510,  6,  -468.5, 39.89
118,   425,  5,  -646.5, 42.01
119,   415,  5,  -459.8, 42.36
120,   505,  6,  -395.0, 40.90
121,   470,  6,  -380.7, 41.67
122,   695,  7,  -434.7, 38.47
123,   445,  5,  -361.3, 38.50
124,   585,  6,  -413.2, 39.22
125,   470,  5,  -484.2, 45.05
126,   620,  8,  -490.5, 39.62
127,   665,  8,  -367.2, 41.34
128,   500,  5,  -404.2, 37.81
129,   540,  6,  -364.5, 43.20
130,   580,  7,  -418.2, 39.98
131,   595,  6,  -362.7, 35.00
132,   455,  6,  -480.7, 41.09
133,   350,  4,  -554.7, 40.35
134,   405,  5,  -419.5, 37.74
135,   500,  6,  -447.8, 36.81
136,   505,  6,  -382.0, 38.76
137,   385,  5,  -472.2, 39.13
138,   540,  6,  -280.3, 38.49
139,   490,  6,  -336.8, 35.96
140,   655,  7,  -500.2, 38.16
141,   375,  5,  -539.5, 37.85
142,   540,  6,  -307.5, 35.45
143,   515,  6,  -398.8, 39.34
144,   675,  8,  -471.8, 39.04
145,   190,  3,  -491.5, 41.22
146,   320,  4,  -476.0, 42.78
147,   200,  3,  -606.7, 44.24
148,   695,  8,  -528.8, 38.69
149,   535,  6,  -459.5, 37.71
150,   685,  8,  -410.5, 38.68
151,   575,  6,  -406.5, 40.43
152,   540,  6,  -425.0, 39.64
153,   380,  5,  -508.0, 39.30
154,   660,  7,  -534.5, 40.45
155,   710,  8,  -306.8, 40.57
156,   565,  8,  -432.2, 40.68
157,   545,  8,  -262.3, 44.72
158,   525,  8,  -316.8, 42.01
159,   545,  6,  -373.2, 46.55
160,   525,  6,  -529.5, 47.05
161,   430,  5,  -340.0, 37.94
162,   430,  5,  -423.8, 37.66
163,   635,  7,  -426.7, 41.65
164,   370,  4,  -537.3, 39.48
165,   140,  2,  -565.8, 43.05
166,   385,  5,  -515.0, 40.11
167,   550,  6,  -325.8, 38.74
168,   515,  6,  -310.5, 44.78
169,   560,  7,  -412.3, 40.91
170,   540,  6,  -368.8, 41.23
171,   565,  6,  -310.5, 37.38
172,   545,  6,  -413.5, 44.75
173,   590,  6,  -360.2, 45.32
174,   635,  9,  -425.5, 42.15
175,   585,  7,  -301.3, 43.46
176,   465,  5,  -509.2, 41.82
177,   540,  6,  -447.5, 41.24
178,   565,  6,  -420.8, 44.21
179,   560,  6,  -505.2, 42.69
180,   425,  5,  -266.7, 38.93
181,   515,  6,  -439.3, 44.43
182,   465,  5,  -482.2, 40.52
183,   480,  6,  -515.8, 36.99
184,   435,  5,  -510.0, 36.98
185,   525,  8,  -375.3, 41.19
186,   315,  4,  -518.3, 40.81
187,   670,  8,  -359.2, 40.10
188,   500,  5,  -417.5, 40.74
189,   510,  6,  -394.2, 39.19
190,   435,  5,  -488.2, 38.17
191,   705,  8,  -470.0, 42.06
192,   520,  6,  -341.8, 36.65
193,   575,  6,  -406.0, 40.82
194,   600,  6,  -331.3, 44.99
195,   595,  7,  -435.0, 43.71
196,   330,  4,  -492.0, 44.91
197,   650,  7,  -365.5, 42.07
198,   505,  6,  -355.8, 45.56
199,   605,  7,  -302.0, 37.34
